/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
FINDY — Procesador FINAL v5 (vectorizado)
============================================================

📂 2013 archivos encontrados

⚙️  Leyendo archivos...
  [274/2013] ✅ 5k Energia BASE NATURGY.xlsx: 5,085 filas (acum: 5,793,998)
  [275/2013] ✅ 5k prueba 25-06-25.xlsx: 4,999 filas (acum: 5,798,997)
  [277/2013] ✅ 600 lineas.xlsx: 649 filas (acum: 5,799,646)
  [278/2013] ✅ 6000.xlsx: 30,343 filas (acum: 5,829,989)
  [279/2013] ✅ 600CLIENTES PHONE HOUSE 15-09-25.xlsx: 593 filas (acum: 5,830,582)
  [280/2013] ✅ 60K (3).xlsx: 50,000 filas (acum: 5,880,582)
  [281/2013] ✅ 60K.xlsx: 50,000 filas (acum: 5,930,582)
  [282/2013] ✅ 60k (1).xlsx: 50,000 filas (acum: 5,980,582)
  [283/2013] ✅ 60k (2).xlsx: 50,000 filas (acum: 6,030,582)
  [284/2013] ✅ 60k bbdd powerbrands 20-03-25.xlsx: 50,000 filas (acum: 6,080,582)
  [285/2013] ✅ 61k18dic.xlsx: 50,000 filas (acum: 6,130,582)
  [286/2013] ✅ 62.5.xlsx: 50,000 filas (acum: 6,180,582)
  [287/2013] ✅ 64k.xlsx: 50,000 filas (acum: 6,230,582)
  [288/2013] ✅ 66k (1).xlsx: 50,000 filas (acum: 6,280,582)
  [289/2013] ✅ 66k.xlsx: 50,000 filas (acum: 6,330,582)
  [290/2013] ✅ 70 CLIENTES RECLAMACIONES ENERGIA PRUEBA.xlsx: 68 filas (acum: 6,330,650)
  [291/2013] ✅ 70K ENERGIA RECLAMOS 06-10-25.xlsx: 50,000 filas (acum: 6,380,650)
  [292/2013] ✅ 70K duplicado angel.xlsx: 50,000 filas (acum: 6,430,650)
  [293/2013] ✅ 70k_231024_jhon.xls: 49,999 filas (acum: 6,480,649)
  [294/2013] ✅ 71.xlsx: 50,000 filas (acum: 6,530,649)
  [295/2013] ✅ 73k.xlsx: 50,000 filas (acum: 6,580,649)
  [296/2013] ✅ 78k.xlsx: 50,000 filas (acum: 6,630,649)
  [297/2013] ✅ 8000. (CARGADA).xlsx: 7,839 filas (acum: 6,638,488)
  [298/2013] ✅ 8000.xlsx: 7,998 filas (acum: 6,646,486)
  [299/2013] ✅ 80K .xlsx: 50,000 filas (acum: 6,696,486)
  [300/2013] procesando...
  [301/2013] ✅ 80k(3).xlsx: 50,000 filas (acum: 6,746,486)
