============================================================
PASO 1: Leer Excel → CSV sin dedup
============================================================

📂 2013 archivos
  [185/2013] ✅ 200K (4).xlsx: 50,000 filas (total: 3,284,646)
  [186/2013] ✅ 200K JHON.xlsx: 50,000 filas (total: 3,334,646)
  [187/2013] ✅ 200K-1.xlsx: 50,000 filas (total: 3,384,646)
  [188/2013] ✅ 200K.xlsx: 50,000 filas (total: 3,434,646)
  [189/2013] ✅ 20240911_ventasKAIZEN.xlsx: 3,770 filas (total: 3,438,416)
  [190/2013] ✅ 20240913_ventasSILVANERGIA_SL_ENGEL.xlsx: 7,993 filas (total: 3,446,409)
  [191/2013] ✅ 20240925_ventasENGELCENTER03.xlsx: 7,993 filas (total: 3,454,402)
  [192/2013] ✅ 20241015_ENGELCENTER02.xlsx: 89 filas (total: 3,454,491)
  [193/2013] ✅ 20241015_ventasENGELCENTER04.xlsx: 2,163 filas (total: 3,456,654)
  [194/2013] ✅ 20241015_ventasENGELCENTER05.xlsx: 733 filas (total: 3,457,387)
  [195/2013] ✅ 20241016_ventasENGELCENTER03.xlsx: 1,866 filas (total: 3,459,253)
  [196/2013] ✅ 20241016_ventasENGELCENTER04.xlsx: 2,119 filas (total: 3,461,372)
  [197/2013] ✅ 20241025_ENGELCENTER02.xlsx: 171 filas (total: 3,461,543)
  [200/2013] ✅ 209K ENERGIA RECLAMOS.xlsx: 50,000 filas (total: 3,511,543)
  [202/2013] ✅ 20K SIN CARGAR.xlsx: 20,003 filas (total: 3,531,546)
  [203/2013] ✅ 20k energia.xlsx: 19,999 filas (total: 3,551,545)
  [204/2013] ✅ 20k energia2.xlsx: 20,250 filas (total: 3,571,795)
  [205/2013] ✅ 20k.. (1).xlsx: 20,000 filas (total: 3,591,795)
  [206/2013] ✅ 20k...xlsx: 20,000 filas (total: 3,611,795)
  [207/2013] ✅ 20k.xlsx: 20,000 filas (total: 3,631,795)
  [208/2013] ✅ 21K.xlsx: 21,399 filas (total: 3,653,194)
  [209/2013] ✅ 23 - OCT - 183K ENERGIA.xlsx: 50,000 filas (total: 3,703,194)
  [210/2013] ✅ 230K ENERGIA RECLAMOS.xlsx: 50,000 filas (total: 3,753,194)
  [211/2013] ✅ 232K ALEX.xlsx: 50,000 filas (total: 3,803,194)
  [214/2013] ✅ 242200 clientes.xlsx: 50,000 filas (total: 3,853,194)
  [215/2013] ✅ 250K ENERGIA AAAAAAAA RECLAMOS.xlsx: 50,000 filas (total: 3,903,194)
  [216/2013] ✅ 29.12.2023 ..xlsx: 1,736 filas (total: 3,904,930)
  [218/2013] ✅ 2Q.01 ENERGY GOLD.xlsx: 28 filas (total: 3,904,958)
  [219/2013] ✅ 2k.xlsx: 2,158 filas (total: 3,907,116)
  [220/2013] ✅ 30,7.K(CARGADO).xlsx: 30,734 filas (total: 3,937,850)
  [222/2013] ✅ 30k john.xls: 29,998 filas (total: 3,967,848)
  [223/2013] ✅ 34,13k(CARGADO).xlsx: 34,128 filas (total: 4,001,976)
  [224/2013] ✅ 34.k(CARGADO).xlsx: 34,128 filas (total: 4,036,104)
  [225/2013] ✅ 3500 K 20112024.xlsx: 3,500 filas (total: 4,039,604)
  [226/2013] ✅ 37k con cuenta.xlsx: 30,343 filas (total: 4,069,947)
  [227/2013] ✅ 37k junio.xlsx: 37,925 filas (total: 4,107,872)
  [228/2013] ✅ 38.k(CARGADO).xlsx: 38,241 filas (total: 4,146,113)
  [229/2013] ✅ 3k (1).xlsx: 3,000 filas (total: 4,149,113)
  [230/2013] ✅ 3k (2).xlsx: 3,000 filas (total: 4,152,113)
  [231/2013] ✅ 3k (3).xlsx: 3,000 filas (total: 4,155,113)
  [232/2013] ✅ 3k.xlsx: 3,000 filas (total: 4,158,113)
  [233/2013] ✅ 40.xlsx: 40,890 filas (total: 4,199,003)
  [234/2013] ✅ 40k (1).xlsx: 16,800 filas (total: 4,215,803)
  [235/2013] ✅ 40k.xlsx: 16,800 filas (total: 4,232,603)
  [236/2013] ✅ 4100(cargada).xlsx: 4,113 filas (total: 4,236,716)
  [237/2013] ✅ 49100(CARGADA).xlsx: 49,099 filas (total: 4,285,815)
  [239/2013] ✅ 500CLIENTES PHONE HOUSE 15-09-25 PARTE 2.xlsx: 499 filas (total: 4,286,314)
  [240/2013] ✅ 500leadsprueba.xlsx: 531 filas (total: 4,286,845)
  [241/2013] ✅ 50K -191124.xlsx: 50,000 filas (total: 4,336,845)
  [242/2013] ✅ 50K 2904.xlsx: 50,000 filas (total: 4,386,845)
  [243/2013] ✅ 50K ANGEL 18-06.xls: 49,999 filas (total: 4,436,844)
  [244/2013] ✅ 50K BBDD 06_06 (1).xlsx: 50,000 filas (total: 4,486,844)
  [245/2013] ✅ 50K BBDD 06_06.xlsx: 50,000 filas (total: 4,536,844)
  [246/2013] ✅ 50K ENERGIA.xlsx: 50,000 filas (total: 4,586,844)
  [247/2013] ✅ 50K II (1).xlsx: 50,000 filas (total: 4,636,844)
  [248/2013] ✅ 50K II.xlsx: 50,000 filas (total: 4,686,844)
  [249/2013] ✅ 50K IV.xlsx: 50,000 filas (total: 4,736,844)
  [250/2013] ✅ 50K V.xlsx: 50,000 filas (total: 4,786,844)
  [251/2013] ✅ 50K218dic.xlsx: 50,000 filas (total: 4,836,844)
  [252/2013] ✅ 50KJORGEH FALTA.xlsx: 25,878 filas (total: 4,862,722)
  [253/2013] ✅ 50k (4TOLOTE).xlsx: 50,000 filas (total: 4,912,722)
  [255/2013] ✅ 50k 20032024.xlsx: 49,965 filas (total: 4,962,687)
  [256/2013] ✅ 50k 218dic.xlsx: 50,000 filas (total: 5,012,687)
  [258/2013] ✅ 50k III.xlsx: 42,416 filas (total: 5,055,103)
  [259/2013] ✅ 50k con cuenta.xlsx: 50,000 filas (total: 5,105,103)
  [260/2013] ✅ 50k duales Cat(1) (1).xlsx: 49,861 filas (total: 5,154,964)
  [261/2013] ✅ 50k duales Cat(1).xlsx: 49,861 filas (total: 5,204,825)
  [262/2013] ✅ 50k para cargar base angel.xlsx: 49,999 filas (total: 5,254,824)
  [263/2013] ✅ 50k telecomunicaciones.xlsx: 39,439 filas (total: 5,294,263)
  [264/2013] ✅ 50k.xlsx: 50,000 filas (total: 5,344,263)
  [265/2013] ✅ 50kJHON.xlsx: 50,000 filas (total: 5,394,263)
  [266/2013] ✅ 50k_2511_bcn.xlsx: 50,000 filas (total: 5,444,263)
  [267/2013] ✅ 54K.xlsx: 50,000 filas (total: 5,494,263)
  [268/2013] ✅ 55K ENERGIA DUAL CON CUENTA POR CARGAR BASE BUENA.xlsx: 50,000 filas (total: 5,544,263)
  [269/2013] ✅ 55k para cargar base angel.xlsx: 49,999 filas (total: 5,594,262)
  [270/2013] ✅ 56k ENERGIA.xlsx: 50,000 filas (total: 5,644,262)
  [271/2013] ✅ 59.814K (1).xlsx: 50,000 filas (total: 5,694,262)
  [272/2013] ✅ 59.814K.xlsx: 50,000 filas (total: 5,744,262)
  [273/2013] ✅ 59k_findeoctubre.xlsx: 50,000 filas (total: 5,794,262)
  [274/2013] ✅ 5k Energia BASE NATURGY.xlsx: 5,085 filas (total: 5,799,347)
  [275/2013] ✅ 5k prueba 25-06-25.xlsx: 4,999 filas (total: 5,804,346)
  [277/2013] ✅ 600 lineas.xlsx: 649 filas (total: 5,804,995)
  [278/2013] ✅ 6000.xlsx: 30,343 filas (total: 5,835,338)
  [279/2013] ✅ 600CLIENTES PHONE HOUSE 15-09-25.xlsx: 593 filas (total: 5,835,931)
  [280/2013] ✅ 60K (3).xlsx: 50,000 filas (total: 5,885,931)
  [281/2013] ✅ 60K.xlsx: 50,000 filas (total: 5,935,931)
  [282/2013] ✅ 60k (1).xlsx: 50,000 filas (total: 5,985,931)
  [283/2013] ✅ 60k (2).xlsx: 50,000 filas (total: 6,035,931)
  [284/2013] ✅ 60k bbdd powerbrands 20-03-25.xlsx: 50,000 filas (total: 6,085,931)
  [285/2013] ✅ 61k18dic.xlsx: 50,000 filas (total: 6,135,931)
  [286/2013] ✅ 62.5.xlsx: 50,000 filas (total: 6,185,931)
  [287/2013] ✅ 64k.xlsx: 50,000 filas (total: 6,235,931)
  [288/2013] ✅ 66k (1).xlsx: 50,000 filas (total: 6,285,931)
  [289/2013] ✅ 66k.xlsx: 50,000 filas (total: 6,335,931)
  [290/2013] ✅ 70 CLIENTES RECLAMACIONES ENERGIA PRUEBA.xlsx: 68 filas (total: 6,335,999)
  [291/2013] ✅ 70K ENERGIA RECLAMOS 06-10-25.xlsx: 50,000 filas (total: 6,385,999)
  [292/2013] ✅ 70K duplicado angel.xlsx: 50,000 filas (total: 6,435,999)
  [293/2013] ✅ 70k_231024_jhon.xls: 49,999 filas (total: 6,485,998)
  [294/2013] ✅ 71.xlsx: 50,000 filas (total: 6,535,998)
  [295/2013] ✅ 73k.xlsx: 50,000 filas (total: 6,585,998)
  [296/2013] ✅ 78k.xlsx: 50,000 filas (total: 6,635,998)
  [297/2013] ✅ 8000. (CARGADA).xlsx: 7,839 filas (total: 6,643,837)
  [298/2013] ✅ 8000.xlsx: 7,998 filas (total: 6,651,835)
  [299/2013] ✅ 80K .xlsx: 50,000 filas (total: 6,701,835)
  [301/2013] ✅ 80k(3).xlsx: 50,000 filas (total: 6,751,835)
  [302/2013] ✅ 8901CUPS (2).xlsx: 8,900 filas (total: 6,760,735)
  [303/2013] ✅ 90K SIN CARGAR.xlsx: 50,000 filas (total: 6,810,735)
  [304/2013] ✅ ALEX BBDD_MUESTRA CONTRATO.xlsx: 492 filas (total: 6,811,227)
  [305/2013] ✅ ALUMBRA ENERGIA 22-10-25 300 CLIENTES CUENTAS 22-10-25 PARTE 9.xlsx: 379 filas (total: 6,811,606)
  [306/2013] ✅ ANGEL 10K OFI 365 04-11-24 PARTE 2.xlsx: 9,999 filas (total: 6,821,605)
  [307/2013] ✅ ANGEL 10K OFI 365 23-10-24 PARTE 2.xlsx: 9,999 filas (total: 6,831,604)
  [308/2013] ✅ ANGEL 10K OFI 365 23-10-24 PARTE 5.xlsx: 9,998 filas (total: 6,841,602)
  [309/2013] ✅ ANGEL 10K OFI 365 24-10-24 PARTE 1.xlsx: 11,122 filas (total: 6,852,724)
  [310/2013] ✅ ANGEL 10K OFI 365 26-10-24 PARTE 3.xlsx: 9,999 filas (total: 6,862,723)
  [311/2013] ✅ ANGEL 10K OFI 365 26-10-24 PARTE 4.xlsx: 9,999 filas (total: 6,872,722)
  [312/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 10.xlsx: 9,999 filas (total: 6,882,721)
  [313/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 11.xlsx: 9,999 filas (total: 6,892,720)
  [314/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 12.xlsx: 10,023 filas (total: 6,902,743)
  [315/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 8.xlsx: 9,999 filas (total: 6,912,742)
  [316/2013] ✅ ANGEL 10K OFI 365 30-10-24 PARTE 9.xlsx: 10,345 filas (total: 6,923,087)
  [317/2013] ✅ ANGEL 10K OFI 736 04-11-24 PARTE 1.xlsx: 10,103 filas (total: 6,933,190)
  [318/2013] ✅ ANGEL 10K OFI 736 04-11-24 PARTE 3.xlsx: 9,999 filas (total: 6,943,189)
  [319/2013] ✅ ANGEL 10K OFI 736 23-10-24 PARTE 1.xlsx: 10,002 filas (total: 6,953,191)
  [320/2013] ✅ ANGEL 10K OFI 736 23-10-24 PARTE 4.xlsx: 9,999 filas (total: 6,963,190)
  [321/2013] ✅ ANGEL 10K OFI 736 24-10-24 PARTE 2.xlsx: 9,999 filas (total: 6,973,189)
  [322/2013] ✅ ANGEL 10K OFI 736 26-10-24 PARTE 1.xlsx: 9,999 filas (total: 6,983,188)
  [323/2013] ✅ ANGEL 10K OFI 736 26-10-24 PARTE 2.xlsx: 9,998 filas (total: 6,993,186)
  [324/2013] ✅ ANGEL 10K OFI 736 30-10-24 PARTE 3.xlsx: 9,999 filas (total: 7,003,185)
  [325/2013] ✅ ANGEL 10K OFI 736 30-10-24 PARTE 4.xlsx: 9,999 filas (total: 7,013,184)
  [326/2013] ✅ ANGEL 10K OFI 736 30-10-24 PARTE 5.xlsx: 9,999 filas (total: 7,023,183)
  [327/2013] ✅ ANGEL 10K OFI 736 30-10-24 PARTE 6.xlsx: 10,003 filas (total: 7,033,186)
  [328/2013] ✅ ANGEL 10K OFI 736 30-10-24 PARTE 7.xlsx: 9,999 filas (total: 7,043,185)
  [329/2013] ✅ ANGEL 10K OFI EXTERNO 04-11-24 PARTE 4.xlsx: 5,661 filas (total: 7,048,846)
  [330/2013] ✅ ANGEL 10K OFI EXTERNO 23-10-24 PARTE 3.xlsx: 9,997 filas (total: 7,058,843)
  [331/2013] ✅ ANGEL 10K OFI EXTERNO 26-10-24 PARTE 5.xlsx: 10,541 filas (total: 7,069,384)
  [332/2013] ✅ ANGEL 14K OFI 736 30-10-24 PARTE 1.xlsx: 14,431 filas (total: 7,083,815)
  [333/2013] ✅ ANGEL 15K OFI 365 30-10-24 PARTE 2.xlsx: 14,698 filas (total: 7,098,513)
  [334/2013] ✅ ANGEL 5K OFI 365 22-10-24 PARTE 2.xlsx: 4,999 filas (total: 7,103,512)
  [335/2013] ✅ ANGEL 5K OFI 365 PRUEBA 25-10-24 PARTE 2.xlsx: 4,999 filas (total: 7,108,511)
  [336/2013] ✅ ANGEL 5K OFI 736 22-10-24 PARTE 1.xlsx: 4,999 filas (total: 7,113,510)
  [337/2013] ✅ ANGEL 5K OFI 736 PRUEBA 25-10-24 PARTE 1.xlsx: 4,999 filas (total: 7,118,509)
  [338/2013] ✅ ANGEL 5K OFI EXTERNO 22-10-24 PARTE 3.xlsx: 4,999 filas (total: 7,123,508)
  [339/2013] ✅ ANGEL 5K OFI EXTERNO PRUEBA 25-10-24 PARTE 3.xlsx: 5,000 filas (total: 7,128,508)
