/Users/john/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
============================================================
PASO 3: Cargar a Supabase (10 workers × 500 registros)
============================================================

📊 7,325,758 filas en CSV
📤 Cargando...

  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 871 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 870 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 870 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 870 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 869 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 869 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 868 reg/s | ETA: 139 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 868 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 868 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 867 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 867 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 866 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 866 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 866 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 865 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 865 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 865 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 864 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 864 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 864 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 863 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 863 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 862 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 862 reg/s | ETA: 140 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 862 reg/s | ETA: 141 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 861 reg/s | ETA: 141 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 861 reg/s | ETA: 141 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 861 reg/s | ETA: 141 min
  📤 60,000/7,325,758 (1%) — 10,310 nuevos, 48,690 act, 1,000 err | 860 reg/s | ETA: 141 min
